Chip Run Info,D:\Edoardo\1361334043edoardo_hl60_vinc_3nM_mock_vs_48h\ChipRun.bml,1361334043,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,4/24/2016 8:26:16 PM,00:51:17,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A46,48h_low,Unknown,1,MAPK1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A47,48h_low,Unknown,1,MYC,Test,13.6815934866786,-1,1,Pass,0.0222468576534276,80.6117949149537,999,1,ok
S96-A48,48h_low,Unknown,1,OCT4,Test,19.1851225626898,-1,0,Fail,0.0222468576534276,999,999,0,miss
S96-A54,48h_low,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,miss
S96-A53,48h_low,Unknown,1,MPO,Test,16.0894941444947,-1,1,Pass,0.0222468576534276,88.695165457064,999,1,ok
S96-A52,48h_low,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A51,48h_low,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A50,48h_low,Unknown,1,BRD4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A49,48h_low,Unknown,1,DVL2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A60,48h_low,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,miss
S96-A59,48h_low,Unknown,1,MPO,Test,16.4587093825688,-1,1,Pass,0.0222468576534276,88.6074978423334,999,1,ok
S96-A58,48h_low,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A57,48h_low,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A56,48h_low,Unknown,1,BRD4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A55,48h_low,Unknown,1,DVL2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A66,48h_low,Unknown,1,MT2A,Test,20.901734628956,-1,1,Pass,0.0222468576534276,89.7727703557404,999,1,ok
S96-A65,48h_low,Unknown,1,NOTCH1,Test,22.8648933222535,-1,1,Pass,0.0222468576534276,90.6908939097336,999,1,ok
S96-A64,48h_low,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A63,48h_low,Unknown,1,KRAS,Test,15.7388087427536,-1,1,Pass,0.0222468576534276,75.4270774254543,999,1,ok
S96-A62,48h_low,Unknown,1,KMT2A,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A61,48h_low,Unknown,1,DAAM1,Test,26.079400287642,-1,0.496463346210875,Fail,0.0222468576534276,69.3440035129368,999,1,miss
S96-A72,48h_low,Unknown,1,MT2A,Test,20.134043718979,-1,1,Pass,0.0222468576534276,90.0345883484057,999,1,ok
S96-A71,48h_low,Unknown,1,NOTCH1,Test,25.1909369306021,-1,1,Pass,0.0222468576534276,74.2641868540004,999,1,miss
S96-A70,48h_low,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A69,48h_low,Unknown,1,KRAS,Test,15.9444803567397,-1,1,Pass,0.0222468576534276,75.4131271523713,999,1,ok
S96-A68,48h_low,Unknown,1,KMT2A,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A67,48h_low,Unknown,1,DAAM1,Test,20.729162710297,-1,1,Pass,0.0222468576534276,85.199275768946,999,1,ok
S96-A78,48h_low,Unknown,1,CTNNB,Test,14.0589181635845,-1,1,Pass,0.0222468576534276,84.1468640184318,999,1,ok
S96-A77,48h_low,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A76,48h_low,Unknown,1,PPIA,Test,12.8075609705209,-1,1,Pass,0.0222468576534276,84.9292150867602,999,1,ok
S96-A75,48h_low,Unknown,1,RELA,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A74,48h_low,Unknown,1,SMYD3,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A73,48h_low,Unknown,1,UGCG,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A84,48h_low,Unknown,1,CTNNB,Test,14.1373947518786,-1,1,Pass,0.0222468576534276,84.1782860992111,999,1,ok
S96-A83,48h_low,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A82,48h_low,Unknown,1,PPIA,Test,12.790753261833,-1,1,Pass,0.0222468576534276,84.9551341094205,999,1,ok
S96-A81,48h_low,Unknown,1,RELA,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A80,48h_low,Unknown,1,SMYD3,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A79,48h_low,Unknown,1,UGCG,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A90,48h_low,Unknown,1,LRP6,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A89,48h_low,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A88,48h_low,Unknown,1,B2M,Test,14.0985434067113,-1,1,Pass,0.0222468576534276,86.3248787962143,999,1,ok
S96-A87,48h_low,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A86,48h_low,Unknown,1,SLCO3A1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A85,48h_low,Unknown,1,SP1,Test,17.6894216329312,-1,1,Pass,0.0222468576534276,87.5004517739575,999,1,ok
S96-A96,48h_low,Unknown,1,LRP6,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A95,48h_low,Unknown,1,Tcf7l2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A94,48h_low,Unknown,1,B2M,Test,14.1350558760478,-1,1,Pass,0.0222468576534276,86.6862524166926,999,1,ok
S96-A93,48h_low,Unknown,1,MAP3K14,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A92,48h_low,Unknown,1,SLCO3A1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A91,48h_low,Unknown,1,SP1,Test,17.2086684133453,-1,1,Pass,0.0222468576534276,88.0246403043966,999,1,ok
S06-A01,mock_high,Unknown,1,ACTB,Test,14.5051740278975,-1,0.934518769906031,Pass,0.0222468576534276,91.2439085250883,999,1,ok
S06-A02,mock_high,Unknown,1,SP3,Test,12.6711378776013,-1,1,Pass,0.0222468576534276,82.3040830653704,999,1,ok
S06-A03,mock_high,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A04,mock_high,Unknown,1,RSU1,Test,13.576879562506,-1,1,Pass,0.0222468576534276,83.7386159512521,999,1,ok
S06-A05,mock_high,Unknown,1,IL8,Test,13.7068856481213,-1,1,Pass,0.0222468576534276,83.4520985682029,999,1,ok
S06-A06,mock_high,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A07,mock_high,Unknown,1,ACTB,Test,14.7818583461632,-1,0.962542951133635,Pass,0.0222468576534276,90.6011854858647,999,1,ok
S06-A08,mock_high,Unknown,1,SP3,Test,12.5644120273983,-1,1,Pass,0.0222468576534276,81.8931535882101,999,1,ok
S06-A09,mock_high,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A10,mock_high,Unknown,1,RSU1,Test,13.7626423586878,-1,1,Pass,0.0222468576534276,83.3085999111346,999,1,ok
S06-A11,mock_high,Unknown,1,IL8,Test,13.8804337028211,-1,1,Pass,0.0222468576534276,83.1566708227089,999,1,ok
S06-A12,mock_high,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A13,mock_high,Unknown,1,ABCC4,Test,13.871603160849,-1,1,Pass,0.0222468576534276,81.2373223515872,999,1,ok
S06-A14,mock_high,Unknown,1,YBX1,Test,6.67677181989903,-1,1,Pass,0.0222468576534276,82.8330343956948,999,1,ok
S06-A15,mock_high,Unknown,1,PRKCB,Test,15.6670753338031,-1,1,Pass,0.0222468576534276,87.1915891870734,999,1,ok
S06-A16,mock_high,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A17,mock_high,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A18,mock_high,Unknown,1,LRP5,Test,16.7781982271514,-1,1,Pass,0.0222468576534276,84.7997548065116,999,1,ok
S06-A19,mock_high,Unknown,1,ABCC4,Test,13.8181262889257,-1,1,Pass,0.0222468576534276,81.1615548432527,999,1,ok
S06-A20,mock_high,Unknown,1,YBX1,Test,6.65601906524218,-1,1,Pass,0.0222468576534276,82.7294293261166,999,1,ok
S06-A21,mock_high,Unknown,1,PRKCB,Test,15.8522403873158,-1,1,Pass,0.0222468576534276,87.1461516106782,999,1,ok
S06-A22,mock_high,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A23,mock_high,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A24,mock_high,Unknown,1,LRP5,Test,16.4156257520846,-1,1,Pass,0.0222468576534276,84.7229802440051,999,1,ok
S06-A25,mock_high,Unknown,1,ABCC5,Test,18.1494797084201,-1,1,Pass,0.0222468576534276,84.9049514883319,999,1,ok
S06-A26,mock_high,Unknown,1,NFYA,Test,14.7401692621184,-1,1,Pass,0.0222468576534276,86.0629101729755,999,1,ok
S06-A27,mock_high,Unknown,1,CSK,Test,12.6220801874854,-1,1,Pass,0.0222468576534276,86.3374487026104,999,1,ok
S06-A28,mock_high,Unknown,1,SCML2,Test,15.7102351316858,-1,1,Pass,0.0222468576534276,82.3656921823397,999,1,ok
S06-A29,mock_high,Unknown,1,GAPDH,Test,8.11125506551596,-1,1,Pass,0.0222468576534276,87.9689874551789,999,1,ok
S06-A30,mock_high,Unknown,1,APCDD1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A31,mock_high,Unknown,1,ABCC5,Test,17.6325254302468,-1,1,Pass,0.0222468576534276,84.8186633586227,999,1,ok
S06-A32,mock_high,Unknown,1,NFYA,Test,14.9805832443716,-1,1,Pass,0.0222468576534276,86.0000626157336,999,1,ok
S06-A33,mock_high,Unknown,1,CSK,Test,12.5799997384727,-1,1,Pass,0.0222468576534276,86.275150283524,999,1,ok
S06-A34,mock_high,Unknown,1,SCML2,Test,15.3909121533976,-1,1,Pass,0.0222468576534276,82.2509395842718,999,1,ok
