Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S16-A50,untreated_high,Unknown,1,BRD4,Test,11.851196671613,1,Pass,0.0233967033971152,84.9918229256978,999,1,
S16-A49,untreated_high,Unknown,1,DVL2,Test,15.8796346454064,1,Pass,0.0233967033971152,86.765279094628,999,1,
S16-A60,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A59,untreated_high,Unknown,1,MPO,Test,9.47958368799817,1,Pass,0.0233967033971152,88.1577309685236,999,1,
S16-A58,untreated_high,Unknown,1,EZH1,Test,14.8567634239919,1,Pass,0.0233967033971152,82.5912683679338,999,1,
S16-A57,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A56,untreated_high,Unknown,1,BRD4,Test,11.8861009012619,1,Pass,0.0233967033971152,84.9769890964344,999,1,
S16-A55,untreated_high,Unknown,1,DVL2,Test,15.7979337114929,1,Pass,0.0233967033971152,86.7667767655305,999,1,
S16-A66,untreated_high,Unknown,1,MT2A,Test,14.3247707365847,1,Pass,0.0233967033971152,89.6510543226109,999,1,
S16-A65,untreated_high,Unknown,1,NOTCH1,Test,18.7971859156359,1,Pass,0.0233967033971152,89.8689884900119,999,1,
S16-A64,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A63,untreated_high,Unknown,1,KRAS,Test,14.045019297039,1,Pass,0.0233967033971152,75.4134288351722,999,1,
S16-A62,untreated_high,Unknown,1,KMT2A,Test,16.3343360986391,1,Pass,0.0233967033971152,81.6158786720726,999,1,
S16-A61,untreated_high,Unknown,1,DAAM1,Test,27.2931667572837,0.582926705694374,Fail,0.0233967033971152,68.7168713812981,999,1,
S16-A72,untreated_high,Unknown,1,MT2A,Test,14.3759598271812,1,Pass,0.0233967033971152,89.659895579953,999,1,
S16-A71,untreated_high,Unknown,1,NOTCH1,Test,18.7681255406705,1,Pass,0.0233967033971152,89.7817472954416,999,1,
S16-A70,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A69,untreated_high,Unknown,1,KRAS,Test,14.301644530812,1,Pass,0.0233967033971152,75.4341133243824,999,1,
S16-A68,untreated_high,Unknown,1,KMT2A,Test,16.709265047802,1,Pass,0.0233967033971152,81.6107190667753,999,1,
S16-A67,untreated_high,Unknown,1,DAAM1,Test,999,0,Fail,0.0233967033971152,68.7127072357212,999,1,
S16-A78,untreated_high,Unknown,1,CTNNB,Test,15.4515336971019,1,Pass,0.0233967033971152,83.3189150455598,999,1,
S16-A77,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A76,untreated_high,Unknown,1,PPIA,Test,10.0165384622286,1,Pass,0.0233967033971152,84.1392813037974,999,1,
S16-A75,untreated_high,Unknown,1,RELA,Test,13.8657078796637,1,Pass,0.0233967033971152,85.6275694194642,999,1,
S16-A74,untreated_high,Unknown,1,SMYD3,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A73,untreated_high,Unknown,1,UGCG,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A84,untreated_high,Unknown,1,CTNNB,Test,15.3883680166706,1,Pass,0.0233967033971152,83.3975531174707,999,1,
S16-A83,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A82,untreated_high,Unknown,1,PPIA,Test,9.9132314528137,1,Pass,0.0233967033971152,84.1973487573868,999,1,
S16-A81,untreated_high,Unknown,1,RELA,Test,13.88840191347,1,Pass,0.0233967033971152,85.6953866788056,999,1,
S16-A80,untreated_high,Unknown,1,SMYD3,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A79,untreated_high,Unknown,1,UGCG,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A90,untreated_high,Unknown,1,LRP6,Test,21.1675302898014,1,Pass,0.0233967033971152,86.7907962388106,999,1,
S16-A89,untreated_high,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A88,untreated_high,Unknown,1,B2M,Test,9.468347895251,1,Pass,0.0233967033971152,85.7186961540902,999,1,
S16-A87,untreated_high,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A86,untreated_high,Unknown,1,SLCO3A1,Test,18.0938170748264,1,Pass,0.0233967033971152,84.0162677158101,999,1,
S16-A85,untreated_high,Unknown,1,SP1,Test,15.6868287830618,1,Pass,0.0233967033971152,86.8645318776684,999,1,
S16-A96,untreated_high,Unknown,1,LRP6,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A95,untreated_high,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A94,untreated_high,Unknown,1,B2M,Test,9.50408474711903,1,Pass,0.0233967033971152,85.9633286482403,999,1,
S16-A93,untreated_high,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S16-A92,untreated_high,Unknown,1,SLCO3A1,Test,18.3312183263372,1,Pass,0.0233967033971152,84.3751079423012,999,1,
S16-A91,untreated_high,Unknown,1,SP1,Test,15.8673745659395,1,Pass,0.0233967033971152,87.2586964363989,999,1,
S81-A01,untreated_low,Unknown,1,ACTB,Test,12.285456956296,0.945437559234182,Pass,0.0233967033971152,90.7379250352085,999,1,
S81-A02,untreated_low,Unknown,1,SP3,Test,13.3851500413296,1,Pass,0.0233967033971152,81.6657678219923,999,1,
S81-A03,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A04,untreated_low,Unknown,1,RSU1,Test,13.4438727822247,1,Pass,0.0233967033971152,83.0040622697085,999,1,
S81-A05,untreated_low,Unknown,1,IL8,Test,18.6738099684417,1,Pass,0.0233967033971152,82.8109178229003,999,1,
S81-A06,untreated_low,Unknown,1,FZD7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A07,untreated_low,Unknown,1,ACTB,Test,12.1613891043238,0.939913274355927,Pass,0.0233967033971152,90.1280071469712,999,1,
S81-A08,untreated_low,Unknown,1,SP3,Test,13.4164544905487,1,Pass,0.0233967033971152,81.1876968835977,999,1,
S81-A09,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A10,untreated_low,Unknown,1,RSU1,Test,13.393002797503,1,Pass,0.0233967033971152,82.7285136005371,999,1,
S81-A11,untreated_low,Unknown,1,IL8,Test,18.6357405572808,1,Pass,0.0233967033971152,82.4213865150245,999,1,
S81-A12,untreated_low,Unknown,1,FZD7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A13,untreated_low,Unknown,1,ABCC4,Test,14.5770956431416,1,Pass,0.0233967033971152,80.7772966133639,999,1,
S81-A14,untreated_low,Unknown,1,YBX1,Test,7.47951569235397,1,Pass,0.0233967033971152,82.1173229234161,999,1,
S81-A15,untreated_low,Unknown,1,PRKCB,Test,14.2720434128538,1,Pass,0.0233967033971152,86.7692556001599,999,1,
S81-A16,untreated_low,Unknown,1,DDIT4,Test,14.2283849733101,1,Pass,0.0233967033971152,87.841280054743,999,1,
S81-A17,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A18,untreated_low,Unknown,1,LRP5,Test,14.10418346582,1,Pass,0.0233967033971152,84.1839922677369,999,1,
S81-A19,untreated_low,Unknown,1,ABCC4,Test,14.4319379884898,1,Pass,0.0233967033971152,80.6884963802652,999,1,
S81-A20,untreated_low,Unknown,1,YBX1,Test,7.46145617373236,1,Pass,0.0233967033971152,82.0115025289682,999,1,
S81-A21,untreated_low,Unknown,1,PRKCB,Test,14.1885781526524,1,Pass,0.0233967033971152,86.6832904769555,999,1,
S81-A22,untreated_low,Unknown,1,DDIT4,Test,14.3472337490439,1,Pass,0.0233967033971152,87.7183866052471,999,1,
S81-A23,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A24,untreated_low,Unknown,1,LRP5,Test,13.9503119218487,1,Pass,0.0233967033971152,84.0876016196937,999,1,
S81-A25,untreated_low,Unknown,1,ABCC5,Test,15.6086013053927,1,Pass,0.0233967033971152,84.1977421161463,999,1,
S81-A26,untreated_low,Unknown,1,NFYA,Test,16.9820177374672,1,Pass,0.0233967033971152,85.3414835408288,999,1,
S81-A27,untreated_low,Unknown,1,CSK,Test,13.2495476001929,1,Pass,0.0233967033971152,85.8591057676697,999,1,
S81-A28,untreated_low,Unknown,1,SCML2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A29,untreated_low,Unknown,1,GAPDH,Test,8.0412415207224,1,Pass,0.0233967033971152,87.6042324470986,999,1,
S81-A30,untreated_low,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A31,untreated_low,Unknown,1,ABCC5,Test,15.739055852892,1,Pass,0.0233967033971152,84.1416727311045,999,1,
S81-A32,untreated_low,Unknown,1,NFYA,Test,16.9347345921892,1,Pass,0.0233967033971152,85.3640784824698,999,1,
S81-A33,untreated_low,Unknown,1,CSK,Test,13.4560436096361,1,Pass,0.0233967033971152,85.7910851428248,999,1,
S81-A34,untreated_low,Unknown,1,SCML2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A35,untreated_low,Unknown,1,GAPDH,Test,8.05829084539592,1,Pass,0.0233967033971152,87.4476174188049,999,1,
S81-A36,untreated_low,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A37,untreated_low,Unknown,1,WNK1,Test,13.4337152562275,1,Pass,0.0233967033971152,83.7281066869327,999,1,
S81-A38,untreated_low,Unknown,1,IL18,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A39,untreated_low,Unknown,1,GCLC,Test,13.3373734266835,1,Pass,0.0233967033971152,83.379350813782,999,1,
S81-A40,untreated_low,Unknown,1,MAPK1,Test,12.9871510451686,1,Pass,0.0233967033971152,85.1466019254401,999,1,
S81-A41,untreated_low,Unknown,1,MYC,Test,9.77934824531329,1,Pass,0.0233967033971152,79.980123109807,999,1,
S81-A42,untreated_low,Unknown,1,OCT4,Test,23.5870863134856,0,Fail,0.0233967033971152,999,999,0,
S81-A43,untreated_low,Unknown,1,WNK1,Test,13.3611980971313,1,Pass,0.0233967033971152,83.7236938552442,999,1,
S81-A44,untreated_low,Unknown,1,IL18,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A45,untreated_low,Unknown,1,GCLC,Test,13.1737243906055,1,Pass,0.0233967033971152,83.3874800482138,999,1,
S81-A46,untreated_low,Unknown,1,MAPK1,Test,13.1247011478525,1,Pass,0.0233967033971152,85.1754971083835,999,1,
S81-A47,untreated_low,Unknown,1,MYC,Test,9.75704487578632,1,Pass,0.0233967033971152,79.9859194352618,999,1,
S81-A48,untreated_low,Unknown,1,OCT4,Test,24.1777357112494,0,Fail,0.0233967033971152,999,999,0,
S81-A54,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A53,untreated_low,Unknown,1,MPO,Test,13.1287703719345,1,Pass,0.0233967033971152,88.0131951560544,999,1,
S81-A52,untreated_low,Unknown,1,EZH1,Test,14.6047775048482,1,Pass,0.0233967033971152,82.443648569607,999,1,
S81-A51,untreated_low,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A50,untreated_low,Unknown,1,BRD4,Test,11.2038361794304,1,Pass,0.0233967033971152,84.9911428825392,999,1,
S81-A49,untreated_low,Unknown,1,DVL2,Test,16.1128766639093,1,Pass,0.0233967033971152,86.6775646554199,999,1,
S81-A60,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A59,untreated_low,Unknown,1,MPO,Test,13.2971299966355,1,Pass,0.0233967033971152,87.9960553985408,999,1,
S81-A58,untreated_low,Unknown,1,EZH1,Test,14.5689943036539,1,Pass,0.0233967033971152,82.4295282808997,999,1,
S81-A57,untreated_low,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A56,untreated_low,Unknown,1,BRD4,Test,11.2385167554801,1,Pass,0.0233967033971152,84.9713630577286,999,1,
S81-A55,untreated_low,Unknown,1,DVL2,Test,16.4043954664263,1,Pass,0.0233967033971152,86.6918991901878,999,1,
S81-A66,untreated_low,Unknown,1,MT2A,Test,14.5323478592759,1,Pass,0.0233967033971152,89.5351981972062,999,1,
S81-A65,untreated_low,Unknown,1,NOTCH1,Test,17.6553182941531,1,Pass,0.0233967033971152,89.7919355619389,999,1,
S81-A64,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A63,untreated_low,Unknown,1,KRAS,Test,14.5150020569947,1,Pass,0.0233967033971152,75.3793000019407,999,1,
S81-A62,untreated_low,Unknown,1,KMT2A,Test,16.8036802813371,1,Pass,0.0233967033971152,81.6015862742311,999,1,
S81-A61,untreated_low,Unknown,1,DAAM1,Test,16.2984525004969,1,Pass,0.0233967033971152,84.278713491841,999,1,
S81-A72,untreated_low,Unknown,1,MT2A,Test,14.5840984916395,1,Pass,0.0233967033971152,89.3546271190095,999,1,
S81-A71,untreated_low,Unknown,1,NOTCH1,Test,17.3371802338199,1,Pass,0.0233967033971152,89.8138332616913,999,1,
S81-A70,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A69,untreated_low,Unknown,1,KRAS,Test,14.152591143656,1,Pass,0.0233967033971152,75.3672401566883,999,1,
S81-A68,untreated_low,Unknown,1,KMT2A,Test,16.7343957276511,1,Pass,0.0233967033971152,81.6543556994382,999,1,
S81-A67,untreated_low,Unknown,1,DAAM1,Test,16.3437427645344,1,Pass,0.0233967033971152,84.2755403028935,999,1,
S81-A78,untreated_low,Unknown,1,CTNNB,Test,12.849097633092,1,Pass,0.0233967033971152,83.3416555589856,999,1,
S81-A77,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A76,untreated_low,Unknown,1,PPIA,Test,8.81980850338883,1,Pass,0.0233967033971152,84.1173732072605,999,1,
S81-A75,untreated_low,Unknown,1,RELA,Test,13.4593351762825,1,Pass,0.0233967033971152,85.6076324526966,999,1,
S81-A74,untreated_low,Unknown,1,SMYD3,Test,13.8603713481685,1,Pass,0.0233967033971152,81.8891194563518,999,1,
S81-A73,untreated_low,Unknown,1,UGCG,Test,14.7939430486729,1,Pass,0.0233967033971152,82.235706708992,999,1,
S81-A84,untreated_low,Unknown,1,CTNNB,Test,12.9033550394768,1,Pass,0.0233967033971152,83.39065661768,999,1,
S81-A83,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A82,untreated_low,Unknown,1,PPIA,Test,8.81295488119045,1,Pass,0.0233967033971152,84.1746780656018,999,1,
S81-A81,untreated_low,Unknown,1,RELA,Test,13.4810294325714,1,Pass,0.0233967033971152,85.6630954907903,999,1,
S81-A80,untreated_low,Unknown,1,SMYD3,Test,14.0205155175522,1,Pass,0.0233967033971152,81.9500364229232,999,1,
S81-A79,untreated_low,Unknown,1,UGCG,Test,14.9113250681044,1,Pass,0.0233967033971152,82.3785440617906,999,1,
S81-A90,untreated_low,Unknown,1,LRP6,Test,18.8543971782356,1,Pass,0.0233967033971152,86.6759977001284,999,1,
S81-A89,untreated_low,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A88,untreated_low,Unknown,1,B2M,Test,8.78317332073308,1,Pass,0.0233967033971152,85.695838275329,999,1,
S81-A87,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A86,untreated_low,Unknown,1,SLCO3A1,Test,16.2022698619845,1,Pass,0.0233967033971152,83.7863396979622,999,1,
S81-A85,untreated_low,Unknown,1,SP1,Test,14.9655341397132,1,Pass,0.0233967033971152,86.8597574843852,999,1,
S81-A96,untreated_low,Unknown,1,LRP6,Test,20.2909210629579,1,Pass,0.0233967033971152,86.9211170736459,999,1,
S81-A95,untreated_low,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A94,untreated_low,Unknown,1,B2M,Test,8.82071211925755,1,Pass,0.0233967033971152,85.9432833155216,999,1,
S81-A93,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S81-A92,untreated_low,Unknown,1,SLCO3A1,Test,16.4249162264817,1,Pass,0.0233967033971152,84.0340477297052,999,1,
S81-A91,untreated_low,Unknown,1,SP1,Test,14.9712830303237,1,Pass,0.0233967033971152,87.2998730049377,999,1,
S15-A01,untreated_high,Unknown,1,ACTB,Test,11.1293533753757,0.916615543537058,Pass,0.0233967033971152,90.7738520801991,999,1,
S15-A02,untreated_high,Unknown,1,SP3,Test,12.4815650301822,1,Pass,0.0233967033971152,81.7146738086241,999,1,
S15-A03,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A04,untreated_high,Unknown,1,RSU1,Test,13.5750272260412,1,Pass,0.0233967033971152,83.0156646572826,999,1,
S15-A05,untreated_high,Unknown,1,IL8,Test,16.8585795117928,1,Pass,0.0233967033971152,82.808036792826,999,1,
S15-A06,untreated_high,Unknown,1,FZD7,Test,18.6901074897317,1,Pass,0.0233967033971152,81.0003026235413,999,1,
S15-A07,untreated_high,Unknown,1,ACTB,Test,10.9855702534022,0.986330678591474,Pass,0.0233967033971152,90.162163975297,999,1,
S15-A08,untreated_high,Unknown,1,SP3,Test,12.2765934441527,1,Pass,0.0233967033971152,81.2271609601504,999,1,
S15-A09,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A10,untreated_high,Unknown,1,RSU1,Test,13.6444775899715,1,Pass,0.0233967033971152,82.7402697617445,999,1,
S15-A11,untreated_high,Unknown,1,IL8,Test,16.5767443860665,1,Pass,0.0233967033971152,82.397364023554,999,1,
S15-A12,untreated_high,Unknown,1,FZD7,Test,18.3763399793201,1,Pass,0.0233967033971152,80.8025667746329,999,1,
S15-A13,untreated_high,Unknown,1,ABCC4,Test,12.9922900516342,1,Pass,0.0233967033971152,80.7855669822538,999,1,
S15-A14,untreated_high,Unknown,1,YBX1,Test,6.5855626608447,1,Pass,0.0233967033971152,82.1611461574991,999,1,
S15-A15,untreated_high,Unknown,1,PRKCB,Test,13.2842704428695,1,Pass,0.0233967033971152,86.8248971307121,999,1,
S15-A16,untreated_high,Unknown,1,DDIT4,Test,14.9576476070475,1,Pass,0.0233967033971152,87.9156858694074,999,1,
S15-A17,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A18,untreated_high,Unknown,1,LRP5,Test,17.5861110174117,1,Pass,0.0233967033971152,84.1209672955726,999,1,
S15-A19,untreated_high,Unknown,1,ABCC4,Test,13.1816888451998,1,Pass,0.0233967033971152,80.7007702231387,999,1,
S15-A20,untreated_high,Unknown,1,YBX1,Test,6.60033200084306,1,Pass,0.0233967033971152,82.0518729932764,999,1,
S15-A21,untreated_high,Unknown,1,PRKCB,Test,13.2228158958666,1,Pass,0.0233967033971152,86.7079109031466,999,1,
S15-A22,untreated_high,Unknown,1,DDIT4,Test,14.7916549269971,1,Pass,0.0233967033971152,87.8766929745752,999,1,
S15-A23,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A24,untreated_high,Unknown,1,LRP5,Test,18.0099553230796,1,Pass,0.0233967033971152,84.0099797508197,999,1,
S15-A25,untreated_high,Unknown,1,ABCC5,Test,17.4404083183434,1,Pass,0.0233967033971152,84.2106419047821,999,1,
S15-A26,untreated_high,Unknown,1,NFYA,Test,12.8104850871839,1,Pass,0.0233967033971152,85.6175118713823,999,1,
S15-A27,untreated_high,Unknown,1,CSK,Test,12.3262220425513,1,Pass,0.0233967033971152,85.8835002343966,999,1,
S15-A28,untreated_high,Unknown,1,SCML2,Test,15.381264382417,1,Pass,0.0233967033971152,81.7419006641429,999,1,
S15-A29,untreated_high,Unknown,1,GAPDH,Test,6.89077681412736,1,Pass,0.0233967033971152,87.6348891744436,999,1,
S15-A30,untreated_high,Unknown,1,APCDD1,Test,24.9023575780332,1,Pass,0.0233967033971152,90.020771305131,999,1,
S15-A31,untreated_high,Unknown,1,ABCC5,Test,17.3282686679394,1,Pass,0.0233967033971152,84.2353159873395,999,1,
S15-A32,untreated_high,Unknown,1,NFYA,Test,12.7223635917203,1,Pass,0.0233967033971152,85.4534482051624,999,1,
S15-A33,untreated_high,Unknown,1,CSK,Test,12.2796287015943,1,Pass,0.0233967033971152,85.852380457996,999,1,
S15-A34,untreated_high,Unknown,1,SCML2,Test,15.3931374435577,1,Pass,0.0233967033971152,81.7072478334443,999,1,
S15-A35,untreated_high,Unknown,1,GAPDH,Test,7.10887340737122,1,Pass,0.0233967033971152,87.5967754153389,999,1,
S15-A36,untreated_high,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A37,untreated_high,Unknown,1,WNK1,Test,13.4322706323392,1,Pass,0.0233967033971152,83.7355312229232,999,1,
S15-A38,untreated_high,Unknown,1,IL18,Test,14.635150129603,1,Pass,0.0233967033971152,80.9828750822071,999,1,
S15-A39,untreated_high,Unknown,1,GCLC,Test,15.4563341990242,1,Pass,0.0233967033971152,83.267934965327,999,1,
S15-A40,untreated_high,Unknown,1,MAPK1,Test,12.0466461400867,1,Pass,0.0233967033971152,85.2127543251733,999,1,
S15-A41,untreated_high,Unknown,1,MYC,Test,10.1667881902345,1,Pass,0.0233967033971152,80.0059267017812,999,1,
S15-A42,untreated_high,Unknown,1,OCT4,Test,23.2613604873624,0.852702195808658,Pass,0.0233967033971152,79.6788016860741,999,1,
S15-A43,untreated_high,Unknown,1,WNK1,Test,13.4003204754823,1,Pass,0.0233967033971152,83.7033381547195,999,1,
S15-A44,untreated_high,Unknown,1,IL18,Test,14.6435715316657,1,Pass,0.0233967033971152,80.9903488037008,999,1,
S15-A45,untreated_high,Unknown,1,GCLC,Test,15.7942462127556,1,Pass,0.0233967033971152,83.291771323884,999,1,
S15-A46,untreated_high,Unknown,1,MAPK1,Test,12.0430805045041,1,Pass,0.0233967033971152,85.233807983056,999,1,
S15-A47,untreated_high,Unknown,1,MYC,Test,10.1311896897407,1,Pass,0.0233967033971152,80.0270905169223,999,1,
S15-A48,untreated_high,Unknown,1,OCT4,Test,26.9238622305255,0,Fail,0.0233967033971152,999,999,0,
S15-A54,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A53,untreated_high,Unknown,1,MPO,Test,6.27664128314731,1,Pass,0.0233967033971152,88.2256450002436,999,1,
S15-A52,untreated_high,Unknown,1,EZH1,Test,16.9111212735577,1,Pass,0.0233967033971152,82.4521709359088,999,1,
S15-A51,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A50,untreated_high,Unknown,1,BRD4,Test,10.7504909809887,1,Pass,0.0233967033971152,85.0323376023586,999,1,
S15-A49,untreated_high,Unknown,1,DVL2,Test,14.8059074637338,1,Pass,0.0233967033971152,86.8537773702753,999,1,
S15-A60,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A59,untreated_high,Unknown,1,MPO,Test,6.26438958842177,1,Pass,0.0233967033971152,88.2128302184286,999,1,
S15-A58,untreated_high,Unknown,1,EZH1,Test,16.2870354663839,1,Pass,0.0233967033971152,82.4726535257104,999,1,
S15-A57,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A56,untreated_high,Unknown,1,BRD4,Test,10.6925168391853,1,Pass,0.0233967033971152,85.0223472343439,999,1,
S15-A55,untreated_high,Unknown,1,DVL2,Test,14.6857922487022,1,Pass,0.0233967033971152,86.8146207250785,999,1,
S15-A66,untreated_high,Unknown,1,MT2A,Test,10.6845928594249,1,Pass,0.0233967033971152,89.7050680943638,999,1,
S15-A65,untreated_high,Unknown,1,NOTCH1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A64,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A63,untreated_high,Unknown,1,KRAS,Test,12.6105002926357,1,Pass,0.0233967033971152,75.4352739851999,999,1,
S15-A62,untreated_high,Unknown,1,KMT2A,Test,13.7841216226754,1,Pass,0.0233967033971152,81.6850076842642,999,1,
S15-A61,untreated_high,Unknown,1,DAAM1,Test,15.7143394434635,1,Pass,0.0233967033971152,84.4004524647603,999,1,
S15-A72,untreated_high,Unknown,1,MT2A,Test,10.6398608916331,1,Pass,0.0233967033971152,89.7182627515347,999,1,
S15-A71,untreated_high,Unknown,1,NOTCH1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A70,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A69,untreated_high,Unknown,1,KRAS,Test,12.572728453722,1,Pass,0.0233967033971152,75.4437414360889,999,1,
S15-A68,untreated_high,Unknown,1,KMT2A,Test,13.9991859477726,1,Pass,0.0233967033971152,81.6702207452514,999,1,
S15-A67,untreated_high,Unknown,1,DAAM1,Test,16.0946796819101,1,Pass,0.0233967033971152,84.3616716329113,999,1,
S15-A78,untreated_high,Unknown,1,CTNNB,Test,14.6656640939892,1,Pass,0.0233967033971152,83.3278638208033,999,1,
S15-A77,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A76,untreated_high,Unknown,1,PPIA,Test,8.33439292987524,1,Pass,0.0233967033971152,84.15633096401,999,1,
S15-A75,untreated_high,Unknown,1,RELA,Test,12.7714039576466,1,Pass,0.0233967033971152,85.6524472143476,999,1,
S15-A74,untreated_high,Unknown,1,SMYD3,Test,16.0821793354522,1,Pass,0.0233967033971152,81.8973487192003,999,1,
S15-A73,untreated_high,Unknown,1,UGCG,Test,18.4529258475567,1,Pass,0.0233967033971152,82.2340473403779,999,1,
S15-A84,untreated_high,Unknown,1,CTNNB,Test,14.8088493301635,1,Pass,0.0233967033971152,83.4056150170057,999,1,
S15-A83,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S15-A82,untreated_high,Unknown,1,PPIA,Test,8.33170966519061,1,Pass,0.0233967033971152,84.2138387088437,999,1,
S15-A81,untreated_high,Unknown,1,RELA,Test,12.8052839781688,1,Pass,0.0233967033971152,85.723303949646,999,1,
S15-A80,untreated_high,Unknown,1,SMYD3,Test,15.8774528597809,1,Pass,0.0233967033971152,81.9416947577238,999,1,
S15-A79,untreated_high,Unknown,1,UGCG,Test,18.4319806520535,1,Pass,0.0233967033971152,82.3278097650179,999,1,
