Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A46,untreated_low,Unknown,1,MAPK1,Test,13.8742037461652,1,Pass,0.0233967033971152,85.8738078400766,999,1,
S96-A47,untreated_low,Unknown,1,MYC,Test,10.3737893963723,1,Pass,0.0233967033971152,80.5892982746317,999,1,
S96-A48,untreated_low,Unknown,1,OCT4,Test,21.1014707228778,0,Fail,0.0233967033971152,999,999,0,
S96-A54,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A53,untreated_low,Unknown,1,MPO,Test,7.33602696450942,1,Pass,0.0233967033971152,88.9817693123576,999,1,
S96-A52,untreated_low,Unknown,1,EZH1,Test,15.770121149953,1,Pass,0.0233967033971152,83.0596731828498,999,1,
S96-A51,untreated_low,Unknown,1,SLC7A7,Test,16.8159511203544,1,Pass,0.0233967033971152,81.9429962318495,999,1,
S96-A50,untreated_low,Unknown,1,BRD4,Test,12.1921158268328,1,Pass,0.0233967033971152,85.7411900287362,999,1,
S96-A49,untreated_low,Unknown,1,DVL2,Test,15.8716531049474,1,Pass,0.0233967033971152,87.3112483332962,999,1,
S96-A60,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A59,untreated_low,Unknown,1,MPO,Test,7.37156582629792,1,Pass,0.0233967033971152,88.9718246801276,999,1,
S96-A58,untreated_low,Unknown,1,EZH1,Test,15.6744955064266,1,Pass,0.0233967033971152,83.0898529986325,999,1,
S96-A57,untreated_low,Unknown,1,SLC7A7,Test,16.8812097769511,1,Pass,0.0233967033971152,81.9277544751929,999,1,
S96-A56,untreated_low,Unknown,1,BRD4,Test,12.1914599675966,1,Pass,0.0233967033971152,85.7159500196059,999,1,
S96-A55,untreated_low,Unknown,1,DVL2,Test,15.9218305475956,1,Pass,0.0233967033971152,87.5451499995419,999,1,
S96-A66,untreated_low,Unknown,1,MT2A,Test,13.9766218540923,1,Pass,0.0233967033971152,90.2777018864546,999,1,
S96-A65,untreated_low,Unknown,1,NOTCH1,Test,19.9747046604902,1,Pass,0.0233967033971152,90.634590425955,999,1,
S96-A64,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A63,untreated_low,Unknown,1,KRAS,Test,14.2330864289159,1,Pass,0.0233967033971152,76.0260472707081,999,1,
S96-A62,untreated_low,Unknown,1,KMT2A,Test,14.7661402100872,1,Pass,0.0233967033971152,82.1787943633211,999,1,
S96-A61,untreated_low,Unknown,1,DAAM1,Test,16.9898699197889,1,Pass,0.0233967033971152,85.0377013929642,999,1,
S96-A72,untreated_low,Unknown,1,MT2A,Test,13.9484782555456,1,Pass,0.0233967033971152,90.2904342205141,999,1,
S96-A71,untreated_low,Unknown,1,NOTCH1,Test,19.2692981509668,1,Pass,0.0233967033971152,90.6969381218377,999,1,
S96-A70,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A69,untreated_low,Unknown,1,KRAS,Test,14.2611906813457,1,Pass,0.0233967033971152,76.0232237343465,999,1,
S96-A68,untreated_low,Unknown,1,KMT2A,Test,14.8536445472509,1,Pass,0.0233967033971152,82.226326837575,999,1,
