Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A44,treated_low,Unknown,1,IL18,Test,16.0449818956443,-1,1,Pass,0.0214762905126088,81.7325779135552,999,1,
S96-A45,treated_low,Unknown,1,GCLC,Test,14.3714884609578,-1,1,Pass,0.0214762905126088,84.016961399797,999,1,
S96-A46,treated_low,Unknown,1,MAPK1,Test,12.5635612881288,-1,1,Pass,0.0214762905126088,85.9857740980069,999,1,
S96-A47,treated_low,Unknown,1,MYC,Test,10.0958655582666,-1,1,Pass,0.0214762905126088,80.5502591916991,999,1,
S96-A48,treated_low,Unknown,1,OCT4,Test,23.8763109351778,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A54,treated_low,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A53,treated_low,Unknown,1,MPO,Test,7.40025871110863,-1,1,Pass,0.0214762905126088,88.9737998192725,999,1,
S96-A52,treated_low,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A51,treated_low,Unknown,1,SLC7A7,Test,14.4519756244582,-1,1,Pass,0.0214762905126088,81.9835109023202,999,1,
S96-A50,treated_low,Unknown,1,BRD4,Test,14.1770883418065,-1,1,Pass,0.0214762905126088,85.6924746263964,999,1,
S96-A49,treated_low,Unknown,1,DVL2,Test,14.8124273586016,-1,1,Pass,0.0214762905126088,87.6134976311819,999,1,
S96-A60,treated_low,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A59,treated_low,Unknown,1,MPO,Test,7.40587966220281,-1,1,Pass,0.0214762905126088,88.9668567145083,999,1,
S96-A58,treated_low,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A57,treated_low,Unknown,1,SLC7A7,Test,14.3856090489014,-1,1,Pass,0.0214762905126088,81.9757485042143,999,1,
S96-A56,treated_low,Unknown,1,BRD4,Test,14.4498362864843,-1,1,Pass,0.0214762905126088,85.7493232371474,999,1,
S96-A55,treated_low,Unknown,1,DVL2,Test,15.0010138299968,-1,1,Pass,0.0214762905126088,87.6051018068878,999,1,
S96-A66,treated_low,Unknown,1,MT2A,Test,13.088844641424,-1,1,Pass,0.0214762905126088,90.3068915915455,999,1,
S96-A65,treated_low,Unknown,1,NOTCH1,Test,17.688503558845,-1,1,Pass,0.0214762905126088,90.6258544644048,999,1,
S96-A64,treated_low,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A63,treated_low,Unknown,1,KRAS,Test,13.9092478805428,-1,1,Pass,0.0214762905126088,75.8161179138451,999,1,
S96-A62,treated_low,Unknown,1,KMT2A,Test,15.5435154587657,-1,1,Pass,0.0214762905126088,82.2172387417605,999,1,
S96-A61,treated_low,Unknown,1,DAAM1,Test,28.5933361321699,-1,0,Fail,0.0214762905126088,69.0290583546232,999,1,
